词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
philtop 22-2039 rack and pinion 2010 f150,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,2.0,1.0,1.0,87.83,0.45,待补ABA搜索量/排名,B0DPCY3SC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 toyota sienna steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE02500,6.0,1.0,1.0,86.65,1.04,待补ABA搜索量/排名,B0GR4FJFKY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 gmc terrain rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,7.0,2.0,1.0,81.99,1.2,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,399.0,8.0,1.0,78.63,2.56,待补ABA搜索量/排名,B0F671L76Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 nissan titan rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,77.99,0.38,待补ABA搜索量/排名,B0DPCWN73Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
tercel accessories,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,0.0,0.0,1.0,77.99,0.0,待补ABA搜索量/排名,B0DPCXH2PS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
audi a4 steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,2.0,1.0,1.0,75.99,0.6,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 toyota tacoma 4.0 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE13700,1.0,1.0,1.0,72.14,0.6,待补ABA搜索量/排名,B0DPCXKHXJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
b0g42flcjv,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,71.29,0.16,待补ABA搜索量/排名,B0D2D19CXW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota rav4 2000 parts,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,7.0,2.0,1.0,69.84,0.85,待补ABA搜索量/排名,B0DWMX4BRG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,522.0,2.0,1.0,68.58,0.63,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
08 328i bmw rack and pinion replacement,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-转向器-王云-KW组表现差暂停商品,9.0,2.0,1.0,66.99,1.1,待补ABA搜索量/排名,B0GSCHRBZ9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 toyota solara v6 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,59.99,0.75,待补ABA搜索量/排名,B0DWMSHL7S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-PT4SGE19700；SP-Auto-Mix-转向器-王云-PT4SGE19700-重点,39.0,6.0,1.0,59.99,2.7,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2002 honda accord steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器26新品-王云-OO4SGE36600,3.0,1.0,1.0,59.99,0.68,待补ABA搜索量/排名,B0GTT88NQL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rak for 2005 chevy cobalt,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,5.0,2.0,1.0,50.79,0.8,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 mustang steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,2.0,1.0,1.0,49.99,0.5,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 chevy colorado 3.5i 4x4 rack and pinion rubber bushings,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,38.8,0.06,待补ABA搜索量/排名,B0DPCX66CY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda accord parts,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-OO4SGE38200,2.0,1.0,1.0,30.21,0.6,待补ABA搜索量/排名,B0H6WR88T9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
aae manual rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP16500-重点,2.0,1.0,1.0,27.52,0.62,待补ABA搜索量/排名,B0GR4BW6FC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack n pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,11.0,1.0,1.0,20.81,0.48,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
